initial_z,Zbase,m1,m2,initial_period_in_days
0.00639,0.00639,33.2487861243,3.5363733699,1728.307985384
0.00639,0.00639,33.2487861243,3.5363733699,18.5087166417
0.00639,0.00639,33.2487861243,3.5363733699,1353.0624393929
0.00639,0.00639,33.2487861243,3.5363733699,0.107075122
0.00639,0.00639,33.2487861243,3.5363733699,0.2244494777
0.00639,0.00639,33.2487861243,3.5363733699,6.0674376048
0.00639,0.00639,33.2487861243,3.5363733699,301.4286227443
0.00639,0.00639,33.2487861243,3.5363733699,0.2621346475
0.00639,0.00639,33.2487861243,3.5363733699,1.5182396634
0.00639,0.00639,33.2487861243,3.5363733699,5.3971923601
0.00639,0.00639,17.0071913632,3.5363733699,0.3502135481
0.00639,0.00639,17.0071913632,3.5363733699,1.3180465073
0.00639,0.00639,17.0071913632,3.5363733699,59.1689743918
0.00639,0.00639,17.0071913632,3.5363733699,160.9574701143
0.00639,0.00639,17.0071913632,3.5363733699,3.270109129
0.00639,0.00639,17.0071913632,3.5363733699,1728.307985384
0.00639,0.00639,17.0071913632,3.5363733699,18.5087166417
0.00639,0.00639,17.0071913632,3.5363733699,1353.0624393929
0.00639,0.00639,17.0071913632,3.5363733699,0.107075122
0.00639,0.00639,17.0071913632,3.5363733699,0.2244494777
0.00639,0.00639,17.0071913632,3.5363733699,6.0674376048
0.00639,0.00639,17.0071913632,3.5363733699,301.4286227443
0.00639,0.00639,17.0071913632,3.5363733699,0.2621346475
0.00639,0.00639,17.0071913632,3.5363733699,1.5182396634
0.00639,0.00639,17.0071913632,3.5363733699,5.3971923601
0.00639,0.00639,83.2078539374,3.5363733699,0.3502135481
0.00639,0.00639,83.2078539374,3.5363733699,1.3180465073
0.00639,0.00639,83.2078539374,3.5363733699,59.1689743918
0.00639,0.00639,83.2078539374,3.5363733699,160.9574701143
0.00639,0.00639,83.2078539374,3.5363733699,3.270109129
0.00639,0.00639,83.2078539374,3.5363733699,1728.307985384
