initial_z,Zbase,new_Z,m1,m2,initial_period_in_days
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,5.7946595737,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.02
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,9.787801837
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,8.2231119282,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.02
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,9.787801837
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,11.6692911677,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.02
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,9.787801837
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,16.5597109156,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.02
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,9.787801837
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,23.4996300688,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.02
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,9.787801837
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,33.3479621828,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.02
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,9.787801837
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,47.3235782218,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.02
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,9.787801837
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,67.1561591512,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.02
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,9.787801837
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,15.7609256313
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,25.3792200634
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,40.8671943571
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,65.8068912463
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,105.9663381257
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,170.6335704835
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,274.7647591767
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,442.4432582141
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,712.4495780525
0.00284,0.00284,0.00284,95.3002685217,5.0082847769,1147.2305020897
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.02
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.0322052406
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.0518588759
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.0835063787
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.1344671507
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.2165273468
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.3486657644
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.5614432408
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,0.9040707313
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,1.4557907688
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,2.3442045951
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,3.7747836443
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,6.0783907646
0.00284,0.00284,0.00284,135.2391395681,5.0082847769,9.787801837
