initial_z,Zbase,m1,m2,initial_period_in_days
0.0284,0.0284,2.0383585489,51.327596304,3.5622478903
0.0284,0.0284,2.0383585489,51.327596304,7.278953844
0.0284,0.0284,2.0383585489,51.327596304,14.8735210729
0.0284,0.0284,2.0383585489,51.327596304,30.3919538231
0.0284,0.0284,2.0383585489,51.327596304,62.1016941892
0.0284,0.0284,2.0383585489,51.327596304,126.8961003168
0.0284,0.0284,2.0383585489,51.327596304,259.2943797405
0.0284,0.0284,2.0383585489,51.327596304,529.8316906284
0.0284,0.0284,2.0383585489,51.327596304,1082.6367338741
0.0284,0.0284,2.0383585489,51.327596304,2212.2162910704
0.0284,0.0284,2.699869011,51.327596304,0.1
0.0284,0.0284,2.699869011,51.327596304,0.2043359718
0.0284,0.0284,2.699869011,51.327596304,0.4175318937
0.0284,0.0284,2.699869011,51.327596304,0.8531678524
0.0284,0.0284,2.699869011,51.327596304,1.7433288222
0.0284,0.0284,2.699869011,51.327596304,3.5622478903
0.0284,0.0284,2.699869011,51.327596304,7.278953844
0.0284,0.0284,2.699869011,51.327596304,14.8735210729
0.0284,0.0284,2.699869011,51.327596304,30.3919538231
0.0284,0.0284,2.699869011,51.327596304,62.1016941892
0.0284,0.0284,2.699869011,51.327596304,126.8961003168
0.0284,0.0284,2.699869011,51.327596304,259.2943797405
0.0284,0.0284,2.699869011,51.327596304,529.8316906284
0.0284,0.0284,2.699869011,51.327596304,1082.6367338741
0.0284,0.0284,2.699869011,51.327596304,2212.2162910704
0.0284,0.0284,3.5760601002,51.327596304,0.1
0.0284,0.0284,3.5760601002,51.327596304,0.2043359718
0.0284,0.0284,3.5760601002,51.327596304,0.4175318937
0.0284,0.0284,3.5760601002,51.327596304,0.8531678524
0.0284,0.0284,3.5760601002,51.327596304,1.7433288222
0.0284,0.0284,3.5760601002,51.327596304,3.5622478903
0.0284,0.0284,3.5760601002,51.327596304,7.278953844
0.0284,0.0284,3.5760601002,51.327596304,14.8735210729
0.0284,0.0284,3.5760601002,51.327596304,30.3919538231
0.0284,0.0284,3.5760601002,51.327596304,62.1016941892
0.0284,0.0284,3.5760601002,51.327596304,126.8961003168
0.0284,0.0284,3.5760601002,51.327596304,259.2943797405
0.0284,0.0284,3.5760601002,51.327596304,529.8316906284
